University,Country,City,Category,Overall_Score,Description,Language,Scholarship_Availability,Tuition_Fees_EUR_Per_Year,Website,Fields_of_Study,RANK_2025,QS_Rank_Numeric,Cluster
Queen Mary University of London,United Kingdom,London,University,55.8,"Queen Mary University of London is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,22000,http://www.qmul.ac.uk/,"Social Sciences, Journalism, Information, Business, Administration, Law, Health & Welfare",120,120,0
Humboldt-Universität zu Berlin,Germany,Berlin,Universität,55.0,"Humboldt-Universität zu Berlin is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,1500,http://www.hu-berlin.de,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),126,126,4
University College Dublin,Ireland,Dublin,University,55.0,"University College Dublin is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,24600,http://www.ucd.ie,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",126,126,0
Newcastle University,United Kingdom,Newcastle upon Tyne,University,54.5,"Newcastle University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,30000,http://www.ncl.ac.uk/,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, Engineering, Manufacturing, Construction, Health & Welfare",129,129,0
Universitat de Barcelona,Spain,Barcelona,Universidad pública,50.7,"Universitat de Barcelona is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Spanish / English,Yes,1600,http://www.ub.edu,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),165,165,2
The University of Exeter,United Kingdom,Exeter,University,50.1,"The University of Exeter is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,14400,http://www.exeter.ac.uk/,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, ICT",169,169,0
Universitat Autònoma de Barcelona,Spain,Barcelona,Universidad pública,49.2,"Universitat Autònoma de Barcelona is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Spanish / English,Yes,4000,http://www.uab.es,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),175,175,2
Cardiff University,United Kingdom,Cardiff,University,47.6,"Cardiff University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,15500,http://www.cardiff.ac.uk,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare",186,186,0
Technische Universität Wien,Austria,Vienna,Öffentliche Universität,47.2,"Technische Universität Wien is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,2500,http://www.tuwien.ac.at/,"Business, Administration, Law, ICT, Engineering, Manufacturing, Construction",190,190,6
Universität Hamburg,Germany,Hamburg,Universität,47.1,"Universität Hamburg is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,700,http://www.uni-hamburg.de,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),191,191,6
Universidad Autónoma de Madrid,Spain,Madrid,Universidad pública,46.3,"Universidad Autónoma de Madrid is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Spanish / English,Yes,1200,http://www.uam.es,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),198,198,2
Vrije Universiteit Amsterdam,Netherlands,Amsterdam,universiteit,43.8,"Vrije Universiteit Amsterdam is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Dutch / English,Yes,19900,http://www.vu.nl/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),221,221,5
Eberhard Karls Universität Tübingen,Germany,Tübingen,Universität,43.7,"Eberhard Karls Universität Tübingen is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,100,http://www.uni-tuebingen.de/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),222,222,5
Loughborough University,United Kingdom,Loughborough,University,43.6,"Loughborough University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,25200,http://www.lboro.ac.uk/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),224,224,0
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,Erlangen,Universität,43.6,"Friedrich-Alexander-Universität Erlangen-Nürnberg is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,600,https://www.fau.eu/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),224,224,4
Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,Bonn,Universität,43.5,"Rheinische Friedrich-Wilhelms-Universität Bonn is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,600,http://www.uni-bonn.de,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),227,227,6
Technische Universität Dresden,Germany,Dresden,Universität,42.6,"Technische Universität Dresden is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,100,http://www.tu-dresden.de,"Engineering, Manufacturing, Construction",234,234,6
Heriot-Watt University,United Kingdom,Edinburgh,University,39.9,"Heriot-Watt University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,15400,https://www.hw.ac.uk/,"Arts & Humanities, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, Engineering, Manufacturing, Construction",256,256,0
University College Cork,Ireland,Cork,University,38.3,"University College Cork is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,12000,http://www.ucc.ie,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",273,273,0
Swansea University,United Kingdom,Swansea,University,36.5,"Swansea University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,23500,http://www.swan.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare",298,298,0
Université Paris Cité,France,Paris,m,35.9,"Université Paris Cité is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,2870,http://u-paris.fr,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare",302,302,3
Universität Innsbruck,Austria,Innsbruck,Öffentliche Universität,35.2,"Universität Innsbruck is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,2200,http://www.uibk.ac.at/index.html.de,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Health & Welfare",309,309,6
Universität Stuttgart,Germany,Stuttgart,Universität,34.9,"Universität Stuttgart is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,300,http://www.uni-stuttgart.de,Arts & Humanities,314,314,6
Brunel University London,United Kingdom,Uxbridge,University,33.0,"Brunel University London is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,27800,http://www.brunel.ac.uk/,"Social Sciences, Journalism, Information, Business, Administration, Law, Health & Welfare",342,342,0
"City, University of London",United Kingdom,London,University,32.4,"City, University of London is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,19700,http://www.city.ac.uk,"Social Sciences, Journalism, Information, Business, Administration, Law, Health & Welfare",352,352,0
Technische Universität Bergakademie Freiberg,Germany,Freiberg,Universität,30.8,"Technische Universität Bergakademie Freiberg is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,1500,http://www.tu-freiberg.de,"Engineering, Manufacturing, Construction",380,380,6
Universidade Nova de Lisboa,Portugal,Lisboa,Ensino Universitário Público,30.2,"Universidade Nova de Lisboa is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Portuguese / English,Yes,7000,http://www.unl.pt,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),388,388,2
Ruhr-Universität Bochum,Germany,Bochum,Universität,29.7,"Ruhr-Universität Bochum is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,1000,https://www.ruhr-uni-bochum.de/de,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),396,396,4
Université de Liège,Belgium,Liège,Université,29.7,"Université de Liège is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.","Dutch, French / English",Yes,3800,http://www.ulg.ac.be/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),396,396,3
"Birkbeck, University of London",United Kingdom,London,University,29.1,"Birkbeck, University of London is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,23200,http://www.bbk.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",408,408,0
Oxford Brookes University,United Kingdom,Oxford,University,28.6,"Oxford Brookes University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,16300,http://www.brookes.ac.uk,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",416,416,0
University of Limerick,Ireland,Limerick,University,28.3,"University of Limerick is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,16000,http://www.ul.ie,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",421,421,0
Dublin City University,Ireland,Dublin,University,28.3,"Dublin City University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,22800,http://www.dcu.ie,"Education, Social Sciences, Journalism, Information, Natural Sciences, Mathematics, Statistics, Engineering, Manufacturing, Construction, Health & Welfare",421,421,0
Aston University,United Kingdom,Birmingham,University,28.1,"Aston University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,24100,http://www.aston.ac.uk,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Engineering, Manufacturing, Construction, Health & Welfare",423,423,0
Julius-Maximilians-Universität Würzburg,Germany,Würzburg,Universität,27.8,"Julius-Maximilians-Universität Würzburg is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,700,http://www.uni-wuerzburg.de,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),428,428,6
Université de Montpellier,France,Montpellier,Université,26.6,"Université de Montpellier is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4070,http://www.umontpellier.fr/,"Education, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare, Services",448,448,3
Université de Strasbourg,France,Strasbourg,Université,26.3,"Université de Strasbourg is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3470,http://www.unistra.fr/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare, Services",456,456,3
Universidad de Sevilla,Spain,Seville,Universidad pública,26.0,"Universidad de Sevilla is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Spanish / English,Yes,5000,http://www.us.es,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),462,462,2
Universität Konstanz,Germany,Konstanz,Universität,25.7,"Universität Konstanz is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,500,http://www.uni-konstanz.de,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),466,466,7
Universität Potsdam,Germany,Potsdam,Universität,25.2,"Universität Potsdam is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,1000,http://www.uni-potsdam.de,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),474,474,6
Bangor University,United Kingdom,Bangor,University,25.2,"Bangor University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,21400,http://www.bangor.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare",474,474,0
Universität Mannheim,Germany,Mannheim,Universität,24.7,"Universität Mannheim is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,400,https://www.uni-mannheim.de/en/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),487,487,6
Coventry University,United Kingdom,Coventry,University,23.3,"Coventry University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,17400,http://www.coventry.ac.uk/,"Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare, Services",526,526,0
Universität Leipzig,Germany,Leipzig,Universität,23.2,"Universität Leipzig is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,400,http://www.uni-leipzig.de,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),527,527,6
Université de Fribourg,Switzerland,Fribourg,Kantonale Universität,22.8,"Université de Fribourg is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.","German, French or Italian / English",Partial,1800,http://www.unifr.ch,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),539,539,3
Universidad de Zaragoza,Spain,Zaragoza,Universidad pública,22.7,"Universidad de Zaragoza is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Spanish / English,Yes,1100,http://www.unizar.es/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),544,544,2
Universidad Pontificia Comillas,Spain,Madrid,Universidad privada,22.7,"Universidad Pontificia Comillas is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Spanish / English,Yes,4700,https://www.comillas.edu/en/,Arts & Humanities,544,544,2
Nottingham Trent University,United Kingdom,Nottingham,University,21.0,"Nottingham Trent University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,25400,http://www.ntu.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary",592,592,0
Universität Bremen,Germany,Bremen,Universität,21.0,"Universität Bremen is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,1500,http://www.uni-bremen.de,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),592,592,6
Universidad de Alcalá,Spain,Alcalá de Henares,Universidad pública,,"Universidad de Alcalá is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Spanish / English,Yes,5100,http://www.uah.es,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),621-630,621,2
Aberystwyth University,United Kingdom,Aberystwyth,University,,"Aberystwyth University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,17100,http://www.aber.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, Agriculture, Veterinary",661-670,661,0
University of Plymouth,United Kingdom,Plymouth,University,,"University of Plymouth is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,24400,http://www.plymouth.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",661-670,661,0
Martin-Luther-Universität Halle-Wittenberg,Germany,Halle (Saale),Universität,,"Martin-Luther-Universität Halle-Wittenberg is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,1200,http://www.uni-halle.de,Arts & Humanities,671-680,671,0
"Goldsmiths, University of London",United Kingdom,London,University,,"Goldsmiths, University of London is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,13900,http://www.gold.ac.uk,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Health & Welfare",681-690,681,0
Université de Franche-Comté,France,Besançon,Université,,"Université de Franche-Comté is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4370,http://www.univ-fcomte.fr/,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare, Services",711-720,711,3
De Montfort University,United Kingdom,Leicester,University,,"De Montfort University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,26000,http://www.dmu.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare",711-720,711,0
Université de Lille,France,Lille,Université,,"Université de Lille is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3270,https://www.univ-lille.fr/home/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",721-730,721,3
Middlesex University,United Kingdom,London,University,,"Middlesex University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,19400,http://www.mdx.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare",721-730,721,0
Universitat Rovira i Virgili,Spain,Tarragona,Universidad pública,,"Universitat Rovira i Virgili is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Spanish / English,Yes,4400,http://www.urv.cat,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),731-740,731,4
Universität Regensburg,Germany,Regensburg,Universität,,"Universität Regensburg is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,900,http://www.uni-regensburg.de,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),741-750,741,6
Bournemouth University,United Kingdom,Poole,University,,"Bournemouth University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,26300,https://www1.bournemouth.ac.uk/,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",771-780,771,0
Université de Lorraine,France,Nancy,Grand établissement MESR,,"Université de Lorraine is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3970,http://www.univ-lorraine.fr/,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",801-850,801,3
Edinburgh Napier University,United Kingdom,Edinburgh,University,,"Edinburgh Napier University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,29300,http://www.napier.ac.uk/,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, Engineering, Manufacturing, Construction, Health & Welfare",801-850,801,0
Universität Rostock,Germany,Rostock,Universität,,"Universität Rostock is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,100,http://www.uni-rostock.de,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),801-850,801,4
Maynooth University,Ireland,Maynooth,University,,"Maynooth University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,13800,https://www.maynoothuniversity.ie/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Health & Welfare, Services",801-850,801,0
London South Bank University,United Kingdom,London,University,,"London South Bank University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,16500,http://www.lsbu.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",801-850,801,0
Liverpool John Moores University,United Kingdom,Liverpool,University,,"Liverpool John Moores University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,25800,http://www.ljmu.ac.uk/,"Education, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare",801-850,801,0
Universität Duisburg-Essen,Germany,Essen,Universität,,"Universität Duisburg-Essen is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,400,http://www.uni-due.de,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),801-850,801,6
University of Hertfordshire,United Kingdom,Hatfield,University,,"University of Hertfordshire is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,29700,http://www.herts.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",851-900,851,0
Université de Nantes,France,Nantes,Université,,"Université de Nantes is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3970,http://www.univ-nantes.fr/,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare, Services",851-900,851,3
Universidad de Valladolid,Spain,Valladolid,Universidad pública,,"Universidad de Valladolid is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Spanish / English,Yes,4800,http://www.uva.es/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),851-900,851,2
Technological University Dublin,Ireland,Dublin,Technological University,,"Technological University Dublin is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,20800,https://tudublin.ie/,"Arts & Humanities, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",851-900,851,0
